url,title,author,publisher,isbn,page,country,language,category,rating,numberOfRating,numberOfReview,orginalPrice,sellPrice,summery,imageUrl
https://www.rokomari.com//book/104615/the-pragmatic-programmer-from-journeyman-to-master,The Pragmatic Programmer : From Journeyman to Master, David Thomas , Pearson (India) ,9788131722428,"1st Edition, 2008",352,India, Computer Science & Engineering ,5.0,1,1,0,0,"Written as a series of self contained sections and filled with entertaining anecdotes, thoughtful examples, and interesting analogies, The Pragmatic Programmer illustrates the best practices and major pitfalls of many different aspects of software development. Whether you’re a new coder, an experienced programmer, or a manager responsible for software projects, use these lessons daily, and you’ll quickly see improvements in personal productivity, accuracy, and job satisfaction. You’ll learn skills and develop habits and attitudes that form the foundation for long term success in your career. You’ll become a pragmatic programmer. ",
https://www.rokomari.com//book/120391/gray-hat-hacking-the-ethical-hackers-handbook,Gray Hat Hacking The Ethical Hackers Handbook, Shon Harris , Mcgraw Hill Education ,9780071077316,"3rd Edition, 2011",720,India, Computer Science & Engineering ,4.0,3,,0,0,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/ac56b1402_120391.jpg
https://www.rokomari.com//book/160544/choiti,চৈতি, আতাউর রহমান মজুমদার , চর্চা গ্রন্থ প্রকাশ ,9789849267843,"1st Published, 2018",102,বাংলাদেশ, সমকালীন উপন্যাস ,5.0,1,1,200,172,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/5a3ed09df_160544.jpg
https://www.rokomari.com//book/96780/onno-ek-nurjahan,অন্য এক নূরজাহান, আতাউর রহমান মজুমদার , ইত্যাদি গ্রন্থ প্রকাশ ,9789849044826,"1st, 2015",111,বাংলাদেশ, সমকালীন উপন্যাস ,5.0,1,,200,172, ,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/rokimg_20150322_96780.gif
https://www.rokomari.com//book/231654/choray-chonde-chiriyakhana-prani,ছড়ায় ছন্দে চিড়িয়াখানা (প্রাণী), ইয়াছিন আরাফাত , রূপসী বাংলা ,9789849584070,"1st Published, 2022",বাংলাদেশ,বাংলা, বয়স যখন ৪-৮: বাংলা ছড়া ,2.0,1,1,160,138,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/Choray_Chonde_Chiriyakhana_Prani-Yasin_Arafat-fb543-231654.jpg
https://www.rokomari.com//book/110598/senior-junior,সিনিয়র জুনিয়র, খাইরুল ইসলাম , অন্বেষা প্রকাশন ,9789849178811,"1st Edition, 2016",111,বাংলাদেশ, সমকালীন উপন্যাস ,5.0,2,1,200,176,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/d57fc7550754_110598.gif
https://www.rokomari.com//book/128471/chena-manuas-ochena-vhalobasha,চেনা মানুষ অচেনা ভালোবাসা , খাইরুল ইসলাম , অন্বেষা প্রকাশন ,9789849277408," 1st Published , 2017 ",112,বাংলাদেশ, সমকালীন উপন্যাস ,3.0,1,1,200,176,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/7f76669a7024_128471.jpg
https://www.rokomari.com//book/272546/brain-rules,ব্রেইন রুলস, জন মেদিনা , একুশ ,"1st Edition, 2022",208,বাংলাদেশ,বাংলা, অনুবাদ: আত্ম-উন্নয়ন ও মেডিটেশন ,4.0,2,,350,263,"আপনার মস্তিষ্কে ৮,৩৮৮,৬২৮x২ সংখ্যাটি গুণ করুন। আপনি কয়েক সেকেন্ডের মধ্যে এটা করতে পারবেন? একজন যুবক আছেন যে কয়েক সেকেন্ডের ব্যবধানে এই সংখ্যাটি 24 গুণ দ্বিগুণ করতে পারবে। এমন একটি ছেলে আছে যে আপনাকে যে কোনো মুহূর্তে দিনের সঠিক সময় বলতে পারবে, এমনকি তার ঘুমের মধ্যেও। একটি মেয়ে আছে যে 20 ফুট দূরে একটি বস্তুর সঠিক মাত্রা নির্ধারণ করতে পারে। একটি শিশু আছে যে 6 বছর বয়সে এমন প্রাণবন্ত ছবি আঁকে, সে ম্যাডিসন অ্যাভিনিউয়ের একটি গ্যালারিতে নিজের শো পেয়েছে। তবুও এই শিশুদের কাউকে জুতা বাঁধতে শেখানো হয়নি। প্রকৃতপক্ষে, তাদের কারও আইকিউ 50-এর বেশি নেই।",
https://www.rokomari.com//book/150412/brain-rules-updated-and-expanded-12-principles-for-surviving-and-thriving-at-work-home-and-school,"Brain Rules (Updated and Expanded): 12 Principles for Surviving and Thriving at Work, Home, and School ", John Medina , Pear Press (India) ,9780983263371,"1st Edition, 2014",306,India, Foreign Language Books: Self-help and meditation ,5.0,1,1,0,0,,
https://www.rokomari.com//book/150617/harry-potter-and-the-cursed-child-parts-1-and-2,Harry Potter And The Cursed Child - Parts 1 And 2, J. K. Rowling , Hachette India ,9780751565362,"1 Edition, 2016",352,India," When 12-17: Mystery, Detective, Thriller and Adventure ",4.13,15,4,0,898,"""Harry Potter And The Cursed Child - Parts 1 And 2"" Content of This Book:",https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/7d2dc54df_150617.jpg
